H2 Hydrogen
Ag3PO4 Silver_Phopshate
Ag2CO3 Silver_Carbonate
Zn Zinc 
ZnO Zinc_Oxide
Zn(OH)2 Zinc_Hydroxide
ZnF2 Zinc_Fluoride
ZnCl2 Zinc_Chloride
ZnBr2 Zinc_Bromide
ZnI2 Zinc_Iodide
ZnS Zinc_Sulfide
ZnSO3 Zinc_Sulfite
ZnSO4 Zinc_Sulfate / White_Vitriol
Zn(NO3)2 Zinc_Nitrate
ZnCO3 Zinc_Carbonate
Zn3(PO4)2 Zinc(II)_Phosphate
Fe Iron
FeO Iron(II)_Oxide
Fe2O3 Iron(III)_Oxide
Fe(OH)2 Iron(II)_Hydroxide
Fe(OH)3 Iron(III)_Hydroxide
FeF2 Iron(II)_Fluoride
FeCl2 Iron(II)_Chloride
FeBr2 Iron(II)_Bromide
FeI2 Iron(II)_Iodide
FeS Iron(II)_Sulfide
FeSO3 Iron(II)_Sulfite
FeSO4 Iron(II)_Sulfate / Green_Vitriol
Fe(NO3)2 Iron(II)_Nitrate
FeCO3 Iron(II)_Carbonate
Fe3(PO4)2 Iron(II)_Phosphate
FeF3 Iron(III)_ Fluoride
FeCl3 Iron(III)_Chloride
FeBr3 Iron(III)_Bromide
FeI3 Iron(III)_Iodide
Fe2S3 Iron(III)_Sulfide
Fe2(SO4)3 Iron(III)_Sulfate
Fe(NO3)3 Iron(III)_Nitrate
